scenario,algorithm,weight_variant,run_id,seed,n_sensors,P_TX_max,w_E,w_R,best_fitness,n_evaluations,is_valid,validation_reason,E_total,min_link_margin,network_lifetime,los_count,nlos_count,los_ratio,elapsed_time
S2,PSO,balanced,30,30,15,-5,0.5,0.5,2000257.8685739073,5000,False,Sensor 10 (Accelerometer) poza strefą 'right_shoulder',0.00015000137421193239,30.319382620854874,99995,9,6,0.6,1.2238569259643555
S2,PSO,balanced,31,31,15,-5,0.5,0.5,6001081.084043501,5000,False,Sensor 8 (Accelerometer) poza strefą 'waist',0.00015000113428209003,27.497529466717978,99995,8,7,0.5333333333333333,1.209402084350586
S2,PSO,balanced,32,32,15,-5,0.5,0.5,1000117.9329274761,5000,False,Sensor 6 (Temperature) poza strefą 'left_wrist',0.00015000102806973293,29.30273501841971,99995,6,9,0.4,1.2916841506958008
S2,PSO,balanced,33,33,15,-5,0.5,0.5,1000432.0858160077,5000,False,Sensor 6 (Temperature) poza strefą 'left_wrist',0.00015000129926632288,41.80284026881531,99995,9,6,0.6,1.2642369270324707
S2,PSO,balanced,34,34,15,-5,0.5,0.5,3000527.931672109,5000,False,Sensor 2 (EEG) poza strefą 'head',0.0001500007006471535,34.523715580761504,99995,12,3,0.8,1.2613072395324707
S2,PSO,balanced,35,35,15,-5,0.5,0.5,3000575.9209701917,5000,False,Sensor 3 (SpO2) poza strefą 'left_shoulder',0.00015000106617159376,37.554262858167036,99995,0,15,0.0,1.2633750438690186
S2,PSO,balanced,36,36,15,-5,0.5,0.5,4000946.0079641067,5000,False,Sensor 3 (SpO2) poza strefą 'left_shoulder',0.00015000107328777245,38.09700324399863,99995,0,15,0.0,1.2597320079803467
S2,PSO,balanced,37,37,15,-5,0.5,0.5,3001386.9452278893,5000,False,Sensor 4 (SpO2) poza strefą 'right_wrist',0.00015000131876051565,37.237667208500795,99995,9,6,0.6,1.2352182865142822
S2,PSO,balanced,38,38,15,-5,0.5,0.5,2000631.602030669,5000,False,Sensor 2 (EEG) poza strefą 'head',0.00015000136986924485,30.320619074662616,99995,4,11,0.26666666666666666,1.2288782596588135
S2,PSO,balanced,39,39,15,-5,0.5,0.5,2000511.541546272,5000,False,Sensor 2 (EEG) poza strefą 'head',0.00015000084344276597,36.387637444260974,99996,0,15,0.0,1.2282640933990479
S2,PSO,balanced,40,40,15,-5,0.5,0.5,1000345.0832893711,5000,False,Sensor 13 (Gyroscope) poza strefą 'left_ankle',0.00015000134528184823,33.505208714668235,99995,6,9,0.4,1.269045114517212
S2,PSO,balanced,41,41,15,-5,0.5,0.5,4000781.140954579,5000,False,Sensor 3 (SpO2) poza strefą 'left_shoulder',0.00015000117011959046,30.336420782444165,99995,8,7,0.5333333333333333,1.2137832641601562
S2,PSO,balanced,42,42,15,-5,0.5,0.5,2000179.135515552,5000,False,Sensor 1 (ECG) poza strefą 'chest',0.00015000141013639083,34.40701794449561,99995,7,8,0.4666666666666667,1.2105491161346436
S2,PSO,balanced,43,43,15,-5,0.5,0.5,4000283.6803131285,5000,False,Sensor 4 (SpO2) poza strefą 'right_wrist',0.00015000120141544013,30.468556046843254,99995,9,6,0.6,1.2153358459472656
S2,PSO,balanced,44,44,15,-5,0.5,0.5,7002012.664832591,5000,False,Sensor 2 (EEG) poza strefą 'head',0.0001500010963859842,27.5151695831645,99995,5,10,0.3333333333333333,1.2407960891723633
S2,PSO,balanced,45,45,15,-5,0.5,0.5,4000461.0099294996,5000,False,Sensor 3 (SpO2) poza strefą 'left_shoulder',0.0001500009619302445,32.09788730540513,99995,8,7,0.5333333333333333,1.2211127281188965
S2,PSO,balanced,46,46,15,-5,0.5,0.5,2000300.178816335,5000,False,Sensor 6 (Temperature) poza strefą 'left_wrist',0.0001500011440135387,25.072463346803794,99995,10,5,0.6666666666666666,1.2126109600067139
S2,PSO,balanced,47,47,15,-5,0.5,0.5,5000609.246540543,5000,False,Sensor 4 (SpO2) poza strefą 'right_wrist',0.00015000111816993917,34.42686588425086,99996,7,8,0.4666666666666667,1.224545955657959
S2,PSO,balanced,48,48,15,-5,0.5,0.5,2000682.6219843738,5000,False,Sensor 11 (Accelerometer) poza strefą 'left_thigh',0.00015000100376858926,31.842644875343588,99995,8,7,0.5333333333333333,1.2576217651367188
S2,PSO,balanced,49,49,15,-5,0.5,0.5,2000431.8834024128,5000,False,Sensor 2 (EEG) poza strefą 'head',0.00015000100921518482,25.776878109091783,99995,8,7,0.5333333333333333,1.1909151077270508
S2,PSO,balanced,50,50,15,-5,0.5,0.5,7.500073074498773e-05,5000,True,OK,0.00015000146148997547,42.260124104951316,99996,8,7,0.5333333333333333,1.2061691284179688
