scenario,algorithm,weight_variant,run_id,seed,n_sensors,P_TX_max,w_E,w_R,best_fitness,n_evaluations,is_valid,validation_reason,E_total,min_link_margin,network_lifetime,los_count,nlos_count,los_ratio,elapsed_time
S2,GA,reliability_priority,2,2,15,-5.0,0.3,0.7,7006991.6938986005,5000,False,Sensor 1 (ECG) poza strefą 'chest',0.0001500006812425967,24.74429983293568,99996,10,5,0.6666666666666666,1.2894959449768066
S2,GA,reliability_priority,3,3,15,-5.0,0.3,0.7,7007364.010726703,5000,False,Sensor 2 (EEG) poza strefą 'head',0.00015000085452968902,30.008560622022998,99996,7,8,0.4666666666666667,1.2879900932312012
S2,PSO,energy_priority,1,1,15,-5.0,0.7,0.3,1000304.1451773375,5000,False,Sensor 14 (Gyroscope) poza strefą 'right_ankle',0.00015000115568179065,38.35184063112277,99995,8,7,0.5333333333333333,1.188194990158081
S2,PSO,energy_priority,2,2,15,-5.0,0.7,0.3,5000420.401570029,5000,False,Sensor 2 (EEG) poza strefą 'head',0.0001500012397114516,30.83863279193796,99995,7,8,0.4666666666666667,1.1829712390899658
S2,PSO,energy_priority,3,3,15,-5.0,0.7,0.3,2000380.000584127,5000,False,Sensor 5 (Temperature) poza strefą 'chest',0.00015000103139497918,31.80687714116796,99996,7,8,0.4666666666666667,1.1898810863494873
S2,PSO,balanced,1,1,15,-5.0,0.5,0.5,2000514.7132812878,5000,False,Sensor 13 (Gyroscope) poza strefą 'left_ankle',0.0001500012539922405,39.834106347502754,99995,8,7,0.5333333333333333,1.1870357990264893
S2,PSO,balanced,2,2,15,-5.0,0.5,0.5,2000243.7806282784,5000,False,Sensor 11 (Accelerometer) poza strefą 'left_thigh',0.0001500014022129451,28.071179940341523,99995,11,4,0.7333333333333333,1.2176861763000488
S2,PSO,balanced,3,3,15,-5.0,0.5,0.5,3000411.2856418006,5000,False,Sensor 1 (ECG) poza strefą 'chest',0.00015000104348870857,24.540352872742027,99995,10,5,0.6666666666666666,1.1814332008361816
S2,PSO,reliability_priority,1,1,15,-5.0,0.3,0.7,2000452.9046739792,5000,False,Sensor 8 (Accelerometer) poza strefą 'waist',0.000150000900123043,28.454896371857146,99995,9,6,0.6,1.21663498878479
S2,PSO,reliability_priority,2,2,15,-5.0,0.3,0.7,3000424.101574219,5000,False,Sensor 2 (EEG) poza strefą 'head',0.00015000066012336736,28.57111719162998,99995,9,6,0.6,1.1868069171905518
S2,PSO,reliability_priority,3,3,15,-5.0,0.3,0.7,2000057.3376722336,5000,False,Sensor 5 (Temperature) poza strefą 'chest',0.00015000131930254228,37.790162916098154,99995,8,7,0.5333333333333333,1.1836175918579102
S3,GA,energy_priority,1,1,25,-10.0,0.7,0.3,15010387.67556025,5000,False,Sensor 2 (EEG) poza strefą 'head',0.00025000125972939144,25.44969678948125,99996,11,14,0.44,3.002424955368042
S3,GA,energy_priority,2,2,25,-10.0,0.7,0.3,17007314.936619673,5000,False,Sensor 1 (ECG) poza strefą 'chest',0.0002500022462136826,32.61797372196217,99995,0,25,0.0,2.9553160667419434
S3,GA,energy_priority,3,3,25,-10.0,0.7,0.3,17016159.02211414,5000,False,Sensor 2 (EEG) poza strefą 'head',0.0002500018782742988,22.16335559505105,99995,11,14,0.44,2.9582269191741943
S3,GA,balanced,1,1,25,-10.0,0.5,0.5,17005296.148627423,5000,False,Sensor 2 (EEG) poza strefą 'head',0.00025000046342204207,10.558480949115918,99996,11,14,0.44,3.0003578662872314
S3,GA,balanced,2,2,25,-10.0,0.5,0.5,17007034.567265652,5000,False,Sensor 1 (ECG) poza strefą 'chest',0.00025000165199261237,27.982781384213382,99996,15,10,0.6,2.986877202987671
S3,GA,balanced,3,3,25,-10.0,0.5,0.5,16009600.875587072,5000,False,Sensor 3 (SpO2) poza strefą 'left_shoulder',0.00025000195809057906,23.79778446399971,99995,12,13,0.48,2.991550922393799
S3,GA,reliability_priority,1,1,25,-10.0,0.3,0.7,17008748.34024112,5000,False,Sensor 3 (SpO2) poza strefą 'left_shoulder',0.0002500006857804625,15.234505053729151,99995,19,6,0.76,3.1194238662719727
S3,GA,reliability_priority,2,2,25,-10.0,0.3,0.7,17006007.139227588,5000,False,Sensor 2 (EEG) poza strefą 'head',0.0002500017782067869,21.22845089255422,99995,18,7,0.72,3.1677141189575195
S3,GA,reliability_priority,3,3,25,-10.0,0.3,0.7,16015131.43092969,5000,False,Sensor 2 (EEG) poza strefą 'head',0.00025000147643789334,22.214038227346315,99995,19,6,0.76,3.1219677925109863
S3,PSO,energy_priority,1,1,25,-10.0,0.7,0.3,14004249.850040847,5000,False,Sensor 5 (SpO2) poza strefą 'left_wrist',0.0002500012712671084,18.912090769824125,99995,10,15,0.4,2.998281955718994
S3,PSO,energy_priority,2,2,25,-10.0,0.7,0.3,14004976.975871967,5000,False,Sensor 2 (EEG) poza strefą 'head',0.0002500015554491479,26.95657909094166,99995,18,7,0.72,2.9533209800720215
S3,PSO,energy_priority,3,3,25,-10.0,0.7,0.3,11002841.71760836,5000,False,Sensor 2 (EEG) poza strefą 'head',0.00025000200032451877,34.996167344043826,99995,16,9,0.64,2.9380059242248535
S3,PSO,balanced,1,1,25,-10.0,0.5,0.5,15004414.27429131,5000,False,Sensor 4 (SpO2) poza strefą 'right_shoulder',0.0002500016701204873,33.539175753397444,99995,0,25,0.0,2.890699863433838
S3,PSO,balanced,2,2,25,-10.0,0.5,0.5,13003060.815996699,5000,False,Sensor 4 (SpO2) poza strefą 'right_shoulder',0.0002500019473532736,33.52573388300593,99995,0,25,0.0,2.8935909271240234
S3,PSO,balanced,3,3,25,-10.0,0.5,0.5,15002998.17487663,5000,False,Sensor 2 (EEG) poza strefą 'head',0.00025000140535302206,22.985478020541798,99995,10,15,0.4,2.910493850708008
S3,PSO,reliability_priority,1,1,25,-10.0,0.3,0.7,15004935.142438978,5000,False,Sensor 2 (EEG) poza strefą 'head',0.00025000208131946904,27.906691593354978,99995,15,10,0.6,2.905198097229004
S3,PSO,reliability_priority,2,2,25,-10.0,0.3,0.7,11001978.48610258,5000,False,Sensor 3 (SpO2) poza strefą 'left_shoulder',0.0002500014544111086,25.36124866692407,99995,18,7,0.72,2.872776985168457
S3,PSO,reliability_priority,3,3,25,-10.0,0.3,0.7,13003564.755289674,5000,False,Sensor 4 (SpO2) poza strefą 'right_shoulder',0.00025000110227245637,21.978282864570048,99995,15,10,0.6,2.903512954711914
