scenario,algorithm,weight_variant,run_id,seed,n_sensors,P_TX_max,w_E,w_R,best_fitness,n_evaluations,convergence_curve,is_valid,validation_reason,E_total,min_link_margin,network_lifetime,los_count,nlos_count,los_ratio,best_genome,elapsed_time
S2,GA,energy_priority,1,1,15,-5.0,0.7,0.3,6001931.858704446,5000,"[np.float64(11003692.396472184), np.float64(10002946.039065138), np.float64(10002946.039065138), np.float64(10002946.039065138), np.float64(10002946.039065138), np.float64(10002946.039065138), np.float64(10002946.039065138), np.float64(10002946.039065138), np.float64(10002946.039065138), np.float64(10002946.039065138), np.float64(10002946.039065138), np.float64(10002946.039065138), np.float64(10002946.039065138), np.float64(10002946.039065138), np.float64(10002946.039065138), np.float64(10002611.228754845), np.float64(10002611.228754845), np.float64(10002611.228754845), np.float64(10002611.228754845), np.float64(10002611.228754845), np.float64(10002611.228754845), np.float64(10002611.228754845), np.float64(9009083.436942892), np.float64(9003640.300296161), np.float64(9003640.300296161), np.float64(8003590.612953429), np.float64(8003590.612953429), np.float64(8003590.612953429), np.float64(8003590.612953429), np.float64(8003590.612953429), np.float64(8003590.612953429), np.float64(8003590.612953429), np.float64(8003590.612953429), np.float64(8003590.612953429), np.float64(8003590.612953429), np.float64(8003590.612953429), np.float64(8003590.612953429), np.float64(8003590.612953429), np.float64(8003590.612953429), np.float64(8003590.612953429), np.float64(8003590.612953429), np.float64(8003590.612953429), np.float64(8003590.612953429), np.float64(8003590.612953429), np.float64(8003575.163895426), np.float64(8003575.163895426), np.float64(8002757.521657004), np.float64(7005204.2532423735), np.float64(7005204.2532423735), np.float64(7002697.4145581545), np.float64(7002697.4145581545), np.float64(7002697.4145581545), np.float64(7002697.4145581545), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446), np.float64(6001931.858704446)]",False,Sensor 4 (SpO2) poza strefą 'right_wrist',0.0001500010704249568,26.875722936040574,99995,7,8,0.4666666666666667,"[0.4732876615515885, 0.6383360646176548, 0.5438219834516986, 0.8746394174291191, 0.3207800000489909, 0.6346297984307422, 0.5798846148473583, 0.17743758855120761, 0.6276620806653941, 0.6904051166058116, 0.33264614926835656, 0.3053939041742014, 0.6271374271967645, 0.5638538471365747, 0.44744907766218356, 0.445188434570035, 0.2535799542225404, 0.6523356930437127, 0.7233923264257432, 0.7378175064445126, 0.07860978740375135, 0.2625133933478566, 0.5934221134520162, 0.784790691547651, 0.8486496765130281, 0.32626816589634555, 0.9100854739803658, 0.19278427460198966, 0.5856598221706695, 0.4409866386554996, 0.3329666401297505, 0.7667157343436177]",1.9199399948120117
S2,GA,energy_priority,2,2,15,-5.0,0.7,0.3,8002559.422481424,5000,"[np.float64(12004844.323940828), np.float64(12004844.323940828), np.float64(12004844.323940828), np.float64(12004844.323940828), np.float64(12004844.323940828), np.float64(12004182.17273642), np.float64(12004182.17273642), np.float64(10005468.856218632), np.float64(10005468.856218632), np.float64(10005468.856218632), np.float64(10005468.856218632), np.float64(10005468.856218632), np.float64(10004735.789305506), np.float64(9003281.629965391), np.float64(9003281.629965391), np.float64(9003281.629965391), np.float64(9003281.629965391), np.float64(9003281.629965391), np.float64(9003281.629965391), np.float64(9003281.629965391), np.float64(9003281.629965391), np.float64(9003281.629965391), np.float64(9003281.629965391), np.float64(9003281.629965391), np.float64(9003281.629965391), np.float64(9002480.762280434), np.float64(9002480.762280434), np.float64(8007584.122132402), np.float64(8007584.122132402), np.float64(8007584.122132402), np.float64(8007584.122132402), np.float64(8007584.122132402), np.float64(8007584.122132402), np.float64(8007584.122132402), np.float64(8007584.122132402), np.float64(8007584.122132402), np.float64(8007584.122132402), np.float64(8007584.122132402), np.float64(8007584.122132402), np.float64(8007584.122132402), np.float64(8007584.122132402), np.float64(8003402.625058407), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424), np.float64(8002559.422481424)]",False,Sensor 3 (SpO2) poza strefą 'left_shoulder',0.00015000164322375936,32.86338604638263,99995,10,5,0.6666666666666666,"[0.5591910442522783, 0.7043089353394967, 0.5354558326414106, 0.9005825249728852, 0.961266183551421, 0.9732333117600557, 0.8529388235759036, 0.5166101752436838, 0.40536847007709353, 0.5363372684973896, 0.14514239782057614, 0.49165026198050377, 0.28232839516697417, 0.3260132189692668, 0.22321707332139928, 0.4050172715657494, 0.3392343742820847, 0.3442022984466765, 0.7060420051405933, 0.7061670434479332, 0.42800306595804005, 0.37706853229015624, 0.7904554946590596, 0.043277232067608584, 0.7333200221823947, 0.1656724857235602, 0.4443769179532596, 0.6868360669756548, 0.8430636629106607, 0.35040197080242586, 0.789019067514606, 0.5152880585454684]",1.946763038635254
S2,GA,energy_priority,3,3,15,-5.0,0.7,0.3,7002861.84220287,5000,"[np.float64(12004281.913778098), np.float64(12004281.913778098), np.float64(12004281.913778098), np.float64(12004281.913778098), np.float64(12004281.913778098), np.float64(12004281.913778098), np.float64(10004162.08225532), np.float64(10004162.08225532), np.float64(10004162.08225532), np.float64(10004162.08225532), np.float64(10004162.08225532), np.float64(10004162.08225532), np.float64(10004162.08225532), np.float64(10004162.08225532), np.float64(10003400.770852735), np.float64(10003279.873557992), np.float64(10003279.873557992), np.float64(10003279.873557992), np.float64(10003279.873557992), np.float64(10003279.873557992), np.float64(10003279.873557992), np.float64(10003279.873557992), np.float64(10003279.873557992), np.float64(10003279.873557992), np.float64(10003279.873557992), np.float64(10003279.873557992), np.float64(10003279.873557992), np.float64(10003002.541764366), np.float64(10003002.541764366), np.float64(10003002.541764366), np.float64(9007154.7571366), np.float64(9007154.7571366), np.float64(9002179.041499838), np.float64(9002179.041499838), np.float64(9002179.041499838), np.float64(9002179.041499838), np.float64(9002179.041499838), np.float64(9002179.041499838), np.float64(9002179.041499838), np.float64(9002179.041499838), np.float64(8007503.794471136), np.float64(8007503.794471136), np.float64(8006760.9144054605), np.float64(7003228.588795149), np.float64(7003228.588795149), np.float64(7003228.588795149), np.float64(7003228.588795149), np.float64(7003228.588795149), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287), np.float64(7002861.84220287)]",False,Sensor 1 (ECG) poza strefą 'chest',0.00015000065152102632,28.2971386273461,99996,10,5,0.6666666666666666,"[0.6239026394404226, 0.7764084863330286, 0.40987889066739025, 0.8868680030875798, 0.29005796879517876, 0.6321551336451431, 0.5137435727442978, 0.8064996434779336, 0.4510144336900087, 0.6949769746815135, 0.813340651694964, 0.5571089173587538, 0.7380788754878649, 0.52020192746644, 0.563143676126406, 0.4781825678505264, 0.3320108131659292, 0.7271160174531017, 0.6122739043766681, 0.8976170181769031, 0.421932065721519, 0.3016092443686774, 0.6122291319719336, 0.34166643909786365, 0.10640467725145775, 0.3596750871509927, 0.0790602547887318, 0.32713213336239844, 0.5378900533356524, 0.4241294954009651, 0.044596326273126485, 0.5132006977088341]",1.9458801746368408
