scenario,algorithm,weight_variant,run_id,seed,n_sensors,P_TX_max,w_E,w_R,best_fitness,n_evaluations,convergence_curve,is_valid,validation_reason,E_total,min_link_margin,network_lifetime,los_count,nlos_count,los_ratio,best_genome,elapsed_time
S3,GA,energy_priority,1,1,25,-10.0,0.7,0.3,17006587.415827613,5000,"[np.float64(21008658.10243851), np.float64(21008658.10243851), np.float64(21008658.10243851), np.float64(19007701.35563084), np.float64(19007701.35563084), np.float64(19007701.35563084), np.float64(19007701.35563084), np.float64(19007701.35563084), np.float64(19007701.35563084), np.float64(19007701.35563084), np.float64(19007701.35563084), np.float64(19007701.35563084), np.float64(19007701.35563084), np.float64(19007701.35563084), np.float64(19007701.35563084), np.float64(19007701.35563084), np.float64(19007701.35563084), np.float64(19007701.35563084), np.float64(19007701.35563084), np.float64(19007701.35563084), np.float64(19007701.35563084), np.float64(19007701.35563084), np.float64(19007701.35563084), np.float64(19007701.35563084), np.float64(19005837.58302608), np.float64(19005837.58302608), np.float64(18007157.971044086), np.float64(18007157.971044086), np.float64(18007157.971044086), np.float64(18007157.971044086), np.float64(18007157.971044086), np.float64(18007157.971044086), np.float64(17010418.902044583), np.float64(17010418.902044583), np.float64(17010418.902044583), np.float64(17010418.902044583), np.float64(17010418.902044583), np.float64(17010418.902044583), np.float64(17010418.902044583), np.float64(17010418.902044583), np.float64(17010200.281041168), np.float64(17010200.281041168), np.float64(17010200.281041168), np.float64(17010200.281041168), np.float64(17010200.281041168), np.float64(17010200.281041168), np.float64(17010200.281041168), np.float64(17010200.281041168), np.float64(17010200.281041168), np.float64(17010200.281041168), np.float64(17010200.281041168), np.float64(17010200.281041168), np.float64(17010200.281041168), np.float64(17010200.281041168), np.float64(17010200.281041168), np.float64(17010200.281041168), np.float64(17010139.85212187), np.float64(17010139.85212187), np.float64(17010139.85212187), np.float64(17009376.52173187), np.float64(17009269.576995384), np.float64(17009269.576995384), np.float64(17009269.576995384), np.float64(17009269.576995384), np.float64(17006732.42474538), np.float64(17006732.42474538), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613), np.float64(17006587.415827613)]",False,Sensor 2 (EEG) poza strefą 'head',0.00025000170261783833,22.284103301118343,99995,0,25,0.0,"[0.377836997296884, 0.7338780250689012, 0.4176960103736177, 0.47618177024983466, 0.40130367545403833, 0.5403975261957304, 0.7527781167269229, 0.6971038739237032, 0.656750606388855, 0.7342545511987048, 0.7258518402412131, 0.1786802756023731, 0.36804865700306777, 0.047288973318954985, 0.8542238057439352, 0.43626072072348954, 0.9370983612844639, 0.7852842106743871, 0.5636585303132317, 0.9566438494686015, 0.5575092683354521, 0.4320643188024851, 0.30032541375575794, 0.6287395139474145, 0.6639697998905206, 0.6576547343033134, 0.7673663052881643, 0.33317169826621573, 0.6440041398435826, 0.39894120963572477, 0.8820037553919178, 0.2146572247116998, 0.7553674027795018, 0.5351376173070228, 0.9124646585298879, 0.4313105982205777, 0.624643851400581, 0.9013542976705692, 0.7494951460105452, 0.6446425001135848, 0.8010586066710265, 0.4172745520533572, 0.5351371740289991, 0.2938314197662172, 0.5073058147046152, 0.10377272951345995, 0.29587053610097214, 0.6912549430542334, 0.9882660828924216, 0.08996990581501352, 0.437415808934711, 0.6715574042043858]",3.053704023361206
S3,GA,energy_priority,2,2,25,-10.0,0.7,0.3,16006434.456677577,5000,"[np.float64(21008350.658509847), np.float64(21008350.658509847), np.float64(21008350.658509847), np.float64(21008247.45021553), np.float64(20007078.528430454), np.float64(20007078.528430454), np.float64(20007078.528430454), np.float64(20007078.528430454), np.float64(18010248.573086657), np.float64(18010248.573086657), np.float64(18010248.573086657), np.float64(18010248.573086657), np.float64(18010248.573086657), np.float64(18010248.573086657), np.float64(18010248.573086657), np.float64(18010248.573086657), np.float64(18010248.573086657), np.float64(18010248.573086657), np.float64(18010248.573086657), np.float64(18010248.573086657), np.float64(18010248.573086657), np.float64(18008363.216603935), np.float64(18008363.216603935), np.float64(18008363.216603935), np.float64(18008363.216603935), np.float64(18008363.216603935), np.float64(18008096.676643357), np.float64(18008096.676643357), np.float64(18008096.676643357), np.float64(18008096.676643357), np.float64(18008096.676643357), np.float64(18008096.676643357), np.float64(18008096.676643357), np.float64(18008096.676643357), np.float64(18008096.676643357), np.float64(18008096.676643357), np.float64(18008096.676643357), np.float64(18008096.676643357), np.float64(18008096.676643357), np.float64(18008096.676643357), np.float64(17011871.423945308), np.float64(17011871.423945308), np.float64(17011871.423945308), np.float64(17011871.423945308), np.float64(17011871.423945308), np.float64(17011871.423945308), np.float64(17011871.423945308), np.float64(17011871.423945308), np.float64(17011871.423945308), np.float64(17011871.423945308), np.float64(17006339.334196594), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577), np.float64(16006434.456677577)]",False,Sensor 3 (SpO2) poza strefą 'left_shoulder',0.00025000192265161306,23.295651502240915,99995,17,8,0.68,"[0.5915287158830097, 0.537879758786134, 0.5380889795147024, 0.8730909042072118, 0.9220734807687914, 0.012748786821751845, 0.6903226265668237, 0.7049882189917134, 0.6361252308860852, 0.8837252335904066, 0.887811621375696, 0.5460292007663793, 0.48872793179771923, 0.36579325412917874, 0.19970180582528796, 0.5381381561267827, 0.6490336994019827, 0.5519021281100087, 0.3961155576019977, 0.1992959275313615, 0.02540049116555021, 0.8287336209823415, 0.9501912506297957, 0.7845350571644485, 0.7266119255019401, 0.6184540833452721, 0.2874779175175074, 0.37398946396720845, 0.527872008786173, 0.5949824565469346, 0.34846578963595654, 0.18078987398712887, 0.10152814349625716, 0.5903681641974533, 0.26308809278765, 0.5111825661226683, 0.4455666373157743, 0.48991549318516525, 0.7717563403340308, 0.6299918453483095, 0.3383273348534591, 0.6259605677723806, 0.792016280109585, 0.5635431064816147, 0.8936083228065093, 0.10387303940469383, 0.6091310988887988, 0.5804593692379234, 0.44806259232997747, 0.8676305044176972, 0.41947070051251634, 0.14478991243271033]",3.040811061859131
S3,GA,energy_priority,3,3,25,-10.0,0.7,0.3,17007085.54791745,5000,"[np.float64(22008372.88755958), np.float64(22008372.88755958), np.float64(22008372.88755958), np.float64(21017120.47595896), np.float64(20017281.149711788), np.float64(20017281.149711788), np.float64(20017281.149711788), np.float64(20017281.149711788), np.float64(20017281.149711788), np.float64(20017281.149711788), np.float64(20017281.149711788), np.float64(20009800.020539712), np.float64(20009800.020539712), np.float64(20009800.020539712), np.float64(20009800.020539712), np.float64(20009800.020539712), np.float64(20009800.020539712), np.float64(20009800.020539712), np.float64(20009800.020539712), np.float64(20009800.020539712), np.float64(20008934.51746276), np.float64(18011551.97611233), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17011470.231049236), np.float64(17008652.911523957), np.float64(17008652.911523957), np.float64(17008652.911523957), np.float64(17008652.911523957), np.float64(17008652.911523957), np.float64(17008652.911523957), np.float64(17008652.911523957), np.float64(17008652.911523957), np.float64(17008652.911523957), np.float64(17008652.911523957), np.float64(17008652.911523957), np.float64(17008652.911523957), np.float64(17008652.911523957), np.float64(17008652.911523957), np.float64(17008652.911523957), np.float64(17008652.911523957), np.float64(17008652.911523957), np.float64(17008652.911523957), np.float64(17008652.911523957), np.float64(17008652.911523957), np.float64(17008652.911523957), np.float64(17008652.911523957), np.float64(17008652.911523957), np.float64(17007085.54791745), np.float64(17007085.54791745), np.float64(17007085.54791745), np.float64(17007085.54791745), np.float64(17007085.54791745), np.float64(17007085.54791745), np.float64(17007085.54791745), np.float64(17007085.54791745), np.float64(17007085.54791745), np.float64(17007085.54791745), np.float64(17007085.54791745), np.float64(17007085.54791745), np.float64(17007085.54791745), np.float64(17007085.54791745), np.float64(17007085.54791745), np.float64(17007085.54791745), np.float64(17007085.54791745), np.float64(17007085.54791745), np.float64(17007085.54791745), np.float64(17007085.54791745), np.float64(17007085.54791745), np.float64(17007085.54791745), np.float64(17007085.54791745), np.float64(17007085.54791745)]",False,Sensor 3 (SpO2) poza strefą 'left_shoulder',0.0002500015062622808,18.19757510325912,99995,15,10,0.6,"[0.4546258417709853, 0.6884015905566299, 0.5270931591325955, 0.9398164256662689, 0.9568897776680266, 0.6160441930892855, 0.619942922835372, 0.1236318953653962, 0.14012272098388334, 0.9459787029715565, 0.49709907281047416, 0.8640993050153288, 0.752468423950184, 0.04612085880804917, 0.4496536218889612, 0.7705913489054724, 0.5122320404853482, 0.48130925582776296, 0.8604238337851353, 0.5234872472394485, 0.6378394965480519, 0.5931702004997564, 0.18900647808520943, 0.6426155767458357, 0.7495604358011622, 0.6586611670763937, 0.7336145963350387, 0.6058796231202144, 0.9654625351883304, 0.9395061797738095, 0.9012662783650782, 0.9697514567119327, 0.5825078369827408, 0.11723779441317683, 0.4399372744897382, 0.4730807085383665, 0.27728789988930624, 0.7395511871140026, 0.36651535320225814, 0.6420684316149926, 0.35379758902205827, 0.3785060559102398, 0.6308351786812149, 0.4287379665261173, 0.5291233174212053, 0.41825908061861217, 0.8102530197012577, 0.46237356287692144, 0.7929976165752544, 0.8830193884586003, 0.8457931483119953, 0.3256611605377496]",3.069390058517456
