scenario,algorithm,weight_variant,run_id,seed,n_sensors,P_TX_max,w_E,w_R,best_fitness,n_evaluations,convergence_curve,is_valid,validation_reason,E_total,min_link_margin,network_lifetime,los_count,nlos_count,los_ratio,best_genome,elapsed_time
S3,PSO,energy_priority,1,1,25,-10.0,0.7,0.3,16004278.89328529,5000,"[np.float64(21007332.542032838), np.float64(21007332.542032838), np.float64(21007094.15501717), np.float64(20012087.589213815), np.float64(20008219.897638902), np.float64(20008219.897638902), np.float64(19010075.495631613), np.float64(19008361.668200552), np.float64(19006877.976125393), np.float64(18010465.28272049), np.float64(18007369.582201205), np.float64(18005448.164246406), np.float64(17005817.22498766), np.float64(17005817.22498766), np.float64(17005730.063674856), np.float64(17005661.691012066), np.float64(17005661.691012066), np.float64(16006537.22312526), np.float64(16006537.22312526), np.float64(16006537.22312526), np.float64(16006537.22312526), np.float64(16006537.22312526), np.float64(16006537.22312526), np.float64(16006301.559019659), np.float64(16005745.045530574), np.float64(16005427.921701418), np.float64(16005427.921701418), np.float64(16005385.358965365), np.float64(16005153.05160187), np.float64(16005132.762699507), np.float64(16005088.406181121), np.float64(16005088.406181121), np.float64(16005028.38135425), np.float64(16004898.804673593), np.float64(16004806.525755651), np.float64(16004804.594843747), np.float64(16004790.581998), np.float64(16004756.528404195), np.float64(16004751.392549552), np.float64(16004728.26932194), np.float64(16004702.036744861), np.float64(16004678.337958625), np.float64(16004660.855715312), np.float64(16004645.555565277), np.float64(16004619.798240297), np.float64(16004599.272553336), np.float64(16004585.559051163), np.float64(16004566.163416086), np.float64(16004545.602665722), np.float64(16004518.780580845), np.float64(16004505.34330287), np.float64(16004489.36989564), np.float64(16004475.677486934), np.float64(16004438.843010703), np.float64(16004438.843010703), np.float64(16004438.843010703), np.float64(16004438.458483035), np.float64(16004432.080520606), np.float64(16004432.080520606), np.float64(16004430.42582052), np.float64(16004428.038825136), np.float64(16004425.004989292), np.float64(16004420.007884584), np.float64(16004416.682062339), np.float64(16004409.795752797), np.float64(16004392.587955624), np.float64(16004371.595759045), np.float64(16004356.919950707), np.float64(16004333.668688275), np.float64(16004319.256579487), np.float64(16004310.934061693), np.float64(16004310.934061693), np.float64(16004310.934061693), np.float64(16004303.553573158), np.float64(16004303.553573158), np.float64(16004303.553573158), np.float64(16004303.499625897), np.float64(16004303.499625897), np.float64(16004303.499625897), np.float64(16004301.456443924), np.float64(16004301.182407828), np.float64(16004300.733660415), np.float64(16004300.733660415), np.float64(16004300.618120631), np.float64(16004299.353714341), np.float64(16004299.353714341), np.float64(16004298.077719074), np.float64(16004296.983933045), np.float64(16004296.001299476), np.float64(16004295.23628983), np.float64(16004294.016075632), np.float64(16004293.108870141), np.float64(16004291.600593613), np.float64(16004290.477644563), np.float64(16004289.702791996), np.float64(16004287.143072963), np.float64(16004285.03004388), np.float64(16004282.521050772), np.float64(16004279.526273262), np.float64(16004278.89328529)]",False,Sensor 2 (EEG) poza strefą 'head',0.000250001468742715,31.47755915966534,99996,11,14,0.44,"[0.6497620501033565, 0.5244178530782659, 0.2992566045065142, 0.6184535846347539, 0.521439687272037, 0.5232739176862563, 0.4489090339686152, 0.7272169971435796, 0.39423470028523, 0.1377792562389508, 0.868510675989566, 0.5212124612762944, 0.47990158489926155, 0.6365617029687888, 0.562551686440217, 0.38392581137779047, 0.5077806255395223, 0.5900600297565767, 0.39115240687286157, 0.5407145926981795, 0.5197469875934976, 0.7566557174556495, 0.26073433806706026, 0.6882052244978129, 0.696591138922952, 0.6089511378879549, 0.38035980106113254, 0.3495115541635881, 0.6846497593484029, 0.2264141881369091, 0.28539425232863336, 0.48256272263002925, 0.36310888230837, 0.17768845570922148, 0.6125598720558719, 0.3012741087634144, 0.20568287637604235, 0.6327250311173265, 0.9157471789128875, 0.5505039604483934, 0.4079156880757399, 0.20040404083008878, 0.3270297317346996, 0.4540413562716267, 0.501572022142565, 0.7091595769172709, 0.4439996431110006, 0.5432497173954794, 0.6923711906649233, 0.49711388946637297, 0.3570739727953387, 0.5192129850051354]",2.9867539405822754
S3,PSO,energy_priority,2,2,25,-10.0,0.7,0.3,13005525.609645538,5000,"[np.float64(21008386.836825877), np.float64(21008386.836825877), np.float64(20011133.835773785), np.float64(20009323.222205516), np.float64(20008378.504706793), np.float64(20008378.504706793), np.float64(20008378.504706793), np.float64(20008273.66997775), np.float64(20008273.66997775), np.float64(20008269.88127572), np.float64(19011936.66911508), np.float64(19011936.66911508), np.float64(19011936.66911508), np.float64(19011936.66911508), np.float64(19011936.66911508), np.float64(19011759.398358367), np.float64(19009679.38109601), np.float64(19008051.49568217), np.float64(18007858.541980606), np.float64(18007858.541980606), np.float64(18007858.541980606), np.float64(18007858.541980606), np.float64(18007858.541980606), np.float64(18007751.329273794), np.float64(18007751.329273794), np.float64(18007709.190894693), np.float64(18007543.331047732), np.float64(18007518.245195657), np.float64(18007436.044865675), np.float64(18007406.66020817), np.float64(18007368.21535319), np.float64(18007300.167866055), np.float64(18007268.592602186), np.float64(18007202.1147894), np.float64(18006899.775815517), np.float64(17009312.109408285), np.float64(17009312.109408285), np.float64(17008054.541139316), np.float64(17008054.541139316), np.float64(17007452.433499783), np.float64(17007434.565361403), np.float64(17007431.89463813), np.float64(17007424.498243216), np.float64(17007367.2270427), np.float64(17007366.115722638), np.float64(17007161.753908478), np.float64(17006997.09421167), np.float64(17006885.132064335), np.float64(17006847.160591662), np.float64(17006680.563691195), np.float64(17006636.864476983), np.float64(17006576.426739436), np.float64(17006559.861232422), np.float64(17006559.861232422), np.float64(17006508.59539606), np.float64(17006508.59539606), np.float64(17006490.961475275), np.float64(17006490.961475275), np.float64(17006474.824194133), np.float64(17006464.229596183), np.float64(17006451.72134076), np.float64(17006433.609690648), np.float64(17006397.033460665), np.float64(17006378.808909632), np.float64(17006347.957221888), np.float64(17006314.75639791), np.float64(17006292.641590744), np.float64(17006210.496129084), np.float64(17006188.03135346), np.float64(17006124.70843403), np.float64(16010491.45479555), np.float64(16006878.814159948), np.float64(15007940.684679415), np.float64(15007239.508460542), np.float64(15006864.16985645), np.float64(15006851.434520686), np.float64(15006380.102202618), np.float64(15005838.665580014), np.float64(15005821.400345938), np.float64(15005821.400345938), np.float64(15005821.317158984), np.float64(15005820.948975796), np.float64(15005814.565753162), np.float64(15005804.471141113), np.float64(15005798.525102163), np.float64(15005774.175829602), np.float64(15005738.13373056), np.float64(15005692.748021545), np.float64(15005674.471627885), np.float64(15005657.09124422), np.float64(14006067.35631857), np.float64(14005604.576258147), np.float64(14005570.586431175), np.float64(14005558.489902047), np.float64(14005558.489902047), np.float64(14005553.053484231), np.float64(14005547.706566105), np.float64(14005539.749981357), np.float64(13005573.540101277), np.float64(13005525.609645538)]",False,Sensor 2 (EEG) poza strefą 'head',0.0002500021177435919,29.14498425206439,99995,0,25,0.0,"[0.3687787872123745, 0.5172399619683449, 0.5173953190981725, 0.2865899272296505, 0.3323233695668275, 0.613916918411947, 0.7989012508066767, 0.6578277290542534, 0.10787419931743579, 0.4537518709436496, 0.5954642592936624, 0.836208704789305, 0.3786197115585028, 0.638122831497721, 0.19773498502065165, 0.5278427446995074, 0.5535867976883295, 0.5660858684384203, 0.8010191850526763, 0.8154312948828895, 0.876951990588127, 0.846483186800927, 0.15811805894279052, 0.21273384202293447, 0.7238415321356014, 0.729714183486076, 0.7548796893104667, 0.7786257835735936, 0.2132613674794768, 0.8763967564227615, 0.8724474594834648, 0.1308120640902685, 0.5813007605698446, 0.08695810538384989, 0.25196694107714424, 0.5786061717710588, 0.2630871891217156, 0.6313149208664354, 0.4513125030451953, 0.45540428567991736, 0.3510704901217709, 0.34204784151494644, 0.6484181084148631, 0.32153011666890985, 0.40534904629741647, 0.78849335693777, 0.8363215240865337, 0.706684336574313, 0.49425352819587676, 0.34411699243690874, 0.43682178124884086, 0.5619131920186973]",2.930891990661621
S3,PSO,energy_priority,3,3,25,-10.0,0.7,0.3,14003602.994911106,5000,"[np.float64(21008731.412599366), np.float64(19009957.509772826), np.float64(19009957.509772826), np.float64(18007341.639715843), np.float64(18007341.639715843), np.float64(18006791.01292466), np.float64(18006380.87809554), np.float64(17009425.38746596), np.float64(17006359.306268465), np.float64(17006222.81573043), np.float64(17006111.958617344), np.float64(17006111.958617344), np.float64(17005853.308026735), np.float64(17005755.59857618), np.float64(17005755.59857618), np.float64(17005740.372797884), np.float64(17005167.604227185), np.float64(17005124.827453107), np.float64(17005124.827453107), np.float64(17005045.273799963), np.float64(17004984.61086987), np.float64(17004984.61086987), np.float64(17004936.44442236), np.float64(17004902.146871176), np.float64(17004896.2280602), np.float64(17004859.83719903), np.float64(17004852.79746604), np.float64(17004808.16506682), np.float64(16006933.517066484), np.float64(16005514.666816598), np.float64(16005265.883554297), np.float64(16005265.883554297), np.float64(16004813.731358435), np.float64(16004813.731358435), np.float64(16004813.731358435), np.float64(16004810.84979323), np.float64(16004810.84979323), np.float64(16004807.135025235), np.float64(16004807.135025235), np.float64(16004806.54445155), np.float64(16004806.259535482), np.float64(16004805.802310977), np.float64(16004805.802310977), np.float64(16004747.36726743), np.float64(16004674.59020819), np.float64(16004660.411998248), np.float64(16004521.088401567), np.float64(15004488.79037961), np.float64(15004151.378982233), np.float64(15004151.378982233), np.float64(15004151.378982233), np.float64(15004150.915429637), np.float64(15004150.839787064), np.float64(15004150.839787064), np.float64(15004115.399973692), np.float64(15004115.399973692), np.float64(15004115.399973692), np.float64(15004115.399973692), np.float64(15004115.399973692), np.float64(15004107.112218373), np.float64(15004105.459632661), np.float64(14006638.27139843), np.float64(14005336.020044249), np.float64(14003892.374183632), np.float64(14003892.374183632), np.float64(14003892.374183632), np.float64(14003805.496189479), np.float64(14003805.496189479), np.float64(14003805.496189479), np.float64(14003805.496189479), np.float64(14003805.496189479), np.float64(14003805.496189479), np.float64(14003801.321038708), np.float64(14003789.794472229), np.float64(14003783.900809621), np.float64(14003745.330533335), np.float64(14003727.074711021), np.float64(14003700.25502765), np.float64(14003682.449090073), np.float64(14003681.144052291), np.float64(14003671.785598012), np.float64(14003671.785598012), np.float64(14003667.94008812), np.float64(14003667.94008812), np.float64(14003666.132197736), np.float64(14003660.601238627), np.float64(14003660.03112357), np.float64(14003660.03112357), np.float64(14003658.90790231), np.float64(14003656.566655755), np.float64(14003654.065754287), np.float64(14003651.822085887), np.float64(14003649.075703148), np.float64(14003647.39283738), np.float64(14003644.080086159), np.float64(14003639.797789192), np.float64(14003632.657218102), np.float64(14003619.435823753), np.float64(14003614.48158815), np.float64(14003602.994911106)]",False,Sensor 2 (EEG) poza strefą 'head',0.0002500012146081753,22.110544315215925,99995,14,11,0.56,"[0.4218821329094663, 0.7260037228386857, 0.691044712975579, 0.6785115435350253, 0.5550852631634844, 0.8892538374418948, 0.6054873474810581, 0.5773936851656669, 0.22480252902004885, 0.8298693001167586, 0.6388351233560028, 0.6162472897641604, 0.42790246298821727, 0.5284887244252262, 0.29006832032451163, 0.9307950393073168, 0.55444837045884, 0.5756706640816153, 0.8004289735154826, 0.5163941922524652, 0.12380428912226504, 0.46735349353835826, 0.403973415538289, 0.5863528868104997, 0.24116806630804666, 0.6780807394677794, 0.35034868626421706, 0.2384539029450207, 0.5244320259401484, 0.308696747474268, 0.4394287913937459, 0.6358626140454039, 0.501946389438406, 0.6382296635049215, 0.5171823711922557, 0.4221592645715153, 0.21033229173841228, 0.6245441541446303, 0.7854552684799353, 0.6357648923097874, 0.3570061377366999, 0.33538991851124633, 0.4229314725167259, 0.34437919850923765, 0.5744098416869482, 0.3119029717079602, 0.6660364826638963, 0.4347421181485737, 0.4000329520565694, 0.8252516581978643, 0.38614453976873736, 0.10065316911065797]",2.919084072113037
