scenario,algorithm,weight_variant,run_id,seed,n_sensors,P_TX_max,w_E,w_R,best_fitness,n_evaluations,is_valid,validation_reason,E_total,min_link_margin,network_lifetime,los_count,nlos_count,los_ratio,elapsed_time
S1,GA,energy_priority,28,28,6,0.0,0.7,0.3,1000038.935688175,5000,False,Sensor 5 (Accelerometer) poza strefą 'waist',6.0000194843063336e-05,37.75847068823995,99997,2,4,0.3333333333333333,0.4327888488769531
S1,GA,energy_priority,29,29,6,0.0,0.7,0.3,2000274.149850402,5000,False,Sensor 4 (Heart_Rate) poza strefą 'right_wrist',6.000009228764133e-05,40.430472158604296,99998,3,3,0.5,0.4317591190338135
S1,GA,energy_priority,30,30,6,0.0,0.7,0.3,1000046.9461342599,5000,False,Sensor 4 (Heart_Rate) poza strefą 'right_wrist',6.000052112264082e-05,47.4136482398393,99996,0,6,0.0,0.4312710762023926
S1,GA,energy_priority,31,31,6,0.0,0.7,0.3,1000014.3853103882,5000,False,Sensor 2 (SpO2) poza strefą 'left_wrist',6.000056633212032e-05,47.46474027772898,99996,3,3,0.5,0.4373283386230469
S1,GA,energy_priority,32,32,6,0.0,0.7,0.3,2144.4920029762015,5000,False,Sensory 1 i 3 za blisko (0.0286 < 0.05),6.000035298080395e-05,42.26147814733858,99995,0,6,0.0,0.4329259395599365
S1,GA,energy_priority,33,33,6,0.0,0.7,0.3,1000212.313252232,5000,False,Sensor 6 (Gyroscope) poza strefą 'left_ankle',6.000015572674374e-05,37.571500377661934,99997,4,2,0.6666666666666666,0.44849491119384766
S1,GA,energy_priority,34,34,6,0.0,0.7,0.3,1000054.8173622006,5000,False,Sensor 6 (Gyroscope) poza strefą 'left_ankle',6.000043224170467e-05,41.848308496399845,99995,3,3,0.5,0.45153307914733887
S1,GA,energy_priority,35,35,6,0.0,0.7,0.3,1000063.5368633034,5000,False,Sensor 5 (Accelerometer) poza strefą 'waist',6.000013398887159e-05,31.879789135860676,99997,2,4,0.3333333333333333,0.45037293434143066
S1,GA,energy_priority,36,36,6,0.0,0.7,0.3,2000215.3205430806,5000,False,Sensor 5 (Accelerometer) poza strefą 'waist',6.000012672392189e-05,38.072672307125664,99997,3,3,0.5,0.44892001152038574
S1,GA,energy_priority,37,37,6,0.0,0.7,0.3,4.2000129225578356e-05,5000,True,OK,6.0000184607969084e-05,31.753720466494542,99997,2,4,0.3333333333333333,0.47423481941223145
S1,GA,energy_priority,38,38,6,0.0,0.7,0.3,1000126.4519731031,5000,False,Sensor 2 (SpO2) poza strefą 'left_wrist',6.000025769618463e-05,36.55391633701096,99995,3,3,0.5,0.4699583053588867
