scenario,algorithm,weight_variant,run_id,seed,n_sensors,P_TX_max,w_E,w_R,best_fitness,n_evaluations,convergence_curve,is_valid,validation_reason,E_total,min_link_margin,network_lifetime,los_count,nlos_count,los_ratio,best_genome,elapsed_time
S2,GA,balanced,1,1,50,0.0,1.0,0.0,1.0607630554993714,5000,"[np.float64(2.209438128453049), np.float64(2.070825288176493), np.float64(2.0635606602427), np.float64(1.8853126605751047), np.float64(1.5664721700042468), np.float64(1.5664721700042468), np.float64(1.5664721700042468), np.float64(1.5664721700042468), np.float64(1.5664721700042468), np.float64(1.5650574099106782), np.float64(1.5650574099106782), np.float64(1.5650574099106782), np.float64(1.5650574099106782), np.float64(1.3981073871567518), np.float64(1.362970574659025), np.float64(1.362970574659025), np.float64(1.362970574659025), np.float64(1.3399524346454825), np.float64(1.3399524346454825), np.float64(1.2835723688803988), np.float64(1.2835723688803988), np.float64(1.2835723688803988), np.float64(1.2835723688803988), np.float64(1.2835723688803988), np.float64(1.2835723688803988), np.float64(1.2835723688803988), np.float64(1.2835723688803988), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0673756419196394), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714), np.float64(1.0607630554993714)]",True,OK,1.0607630554993714,0.0,23,0,0,0.0,"[0.5332887683085131, 0.8508394538155284, 0.1561595441402458, 0.9949477400142799, 0.41617978510254616, 0.8776848501007289, 0.9061088835524601, 0.2133770863441563, 0.836563015084393, 0.6233812915359302, 0.4150627448087074, 0.8041098885296558, 0.9121768702899139, 0.43789087580632313, 0.577169838376017, 0.35446477524881526, 0.514881016548428, 0.4011118590475786, 0.7061582888285268, 0.9095427247687385, 0.35324729084857076, 0.8664016648733242, 0.12593950906004803, 0.9887636707011375, 0.17437581045790573, 0.85271711826454, 0.5106256238980073, 0.40695579140720894, 0.759370252467495, 0.09762485340272586, 0.3618972496009897, 0.7251731067508783, 0.8838241815594714, 0.5375404232368717, 0.9321389364766861, 0.7488619667405131, 0.30146271829557336, 0.8422634678691129, 0.8615435507357504, 0.7725409703610481, 0.6676032467966779, 0.48853070876836535, 0.7727909021662037, 0.990411375099599, 0.9533513580597436, 0.5239550095523398, 0.18186343429479823, 0.6730252675218278, 0.28927536693328193, 0.6721356962540619, 0.47990283656916255, 0.30566024932372127, 0.39636999577295606, 0.6738117620534074, 0.69113695819867, 0.44728290852575325, 0.9434132564994291, 0.5494123119097253, 0.6134152726588095, 0.7343927176531891, 0.28574997919278333, 0.5747206243977991, 0.6579380312374798, 0.07935345641776992, 0.43577111074518404, 0.489859219683349, 0.8272340083235066, 0.8464251496398918, 0.9848673613127821, 0.31554505500387664, 0.494478575975835, 0.812788889033856, 0.3632246840607133, 0.5732709751582798, 0.7300814850119954, 0.33635056919417305, 0.45121860743747044, 0.6328567499919397, 0.914596368223791, 0.6707978875279511, 0.23312470092951465, 0.8115258888721121, 0.34999986894983826, 0.6639596714465458, 0.2677935316171117, 0.894863701204579, 0.34101634646488177, 0.5999149948167325, 0.9619678536512174, 0.7009218215816334, 0.6599438577361049, 0.6804103800387635, 0.3128619552136963, 0.343999093163892, 0.6039001360749287, 0.14986029355921127, 0.20689869729311305, 0.7822962805471105, 0.5090424553217342, 0.9020090605540884, 0.671073989141609, 0.7751131001656373]",1.4329359531402588
S2,GA,balanced,2,2,50,0.0,1.0,0.0,0.9785999597262471,5000,"[np.float64(1.4143670396600068), np.float64(1.4143670396600068), np.float64(1.4143670396600068), np.float64(1.4143670396600068), np.float64(1.4143670396600068), np.float64(1.4143670396600068), np.float64(1.4143670396600068), np.float64(1.4143670396600068), np.float64(1.4143670396600068), np.float64(1.2979231204317114), np.float64(1.2979231204317114), np.float64(1.2979231204317114), np.float64(1.2979231204317114), np.float64(1.2979231204317114), np.float64(1.2979231204317114), np.float64(1.2979231204317114), np.float64(1.1603884469413366), np.float64(1.1603884469413366), np.float64(1.1603884469413366), np.float64(1.1603884469413366), np.float64(1.1603884469413366), np.float64(1.1603884469413366), np.float64(1.1603884469413366), np.float64(1.1603884469413366), np.float64(1.1603884469413366), np.float64(1.1603884469413366), np.float64(1.1603884469413366), np.float64(1.1603884469413366), np.float64(1.1603884469413366), np.float64(1.1603884469413366), np.float64(1.1529222225913314), np.float64(1.1529222225913314), np.float64(1.1529222225913314), np.float64(1.1529222225913314), np.float64(1.1529222225913314), np.float64(1.1529222225913314), np.float64(1.1529222225913314), np.float64(1.1529222225913314), np.float64(1.1529222225913314), np.float64(1.1529222225913314), np.float64(1.1529222225913314), np.float64(1.1529222225913314), np.float64(1.1529222225913314), np.float64(1.1529222225913314), np.float64(1.1529222225913314), np.float64(1.1529222225913314), np.float64(1.1529222225913314), np.float64(1.1529222225913314), np.float64(1.1529222225913314), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471), np.float64(0.9785999597262471)]",True,OK,0.9785999597262471,0.0,25,0,0,0.0,"[0.6484421496825056, 0.6086047330702473, 0.8736415679890788, 0.33724044600112135, 0.5455642097965017, 0.23595854112722903, 0.7613953959523838, 0.8374157008034686, 0.6933509817000505, 0.25261987309885936, 0.7714993099505584, 0.2813057826760642, 0.4379349248618172, 0.6872171757092398, 0.5461952647809752, 0.8197546353370476, 0.5252845643160339, 0.9678431448442588, 0.7227715005113726, 0.9378091287710882, 0.8092798249512793, 0.5400352732663385, 0.6339586505146941, 0.48472342947182756, 0.1855363730927495, 0.7987442746632295, 0.2121500900486214, 0.4202922553548143, 0.6227280594798966, 0.6474691546770062, 0.5148585051910961, 0.7569952809684487, 0.5191877977661196, 0.6145932764732145, 0.40203363177810925, 0.7194952205449944, 0.9295837455609584, 0.3520590197683008, 0.43327757592108407, 0.7009925533690677, 0.5744353636835012, 0.9499693956562552, 0.44067171103016967, 0.9139663256404897, 0.6036628447728813, 0.7548397144283983, 0.25246146236508193, 0.18110236007971237, 0.2736630938371366, 0.6034192501358717, 0.7132426143909059, 0.41220454788127325, 0.5129001604256567, 0.6269105639362745, 0.5595041731927999, 0.3508828816036652, 0.7644341339280916, 0.24857425395558896, 0.4374513271182553, 0.7705156899290154, 0.8621941580025562, 0.1140074687082493, 0.9249886832818018, 0.7568166763009514, 0.5023149509764584, 0.891465800046347, 0.8997699826767545, 0.5952018222800718, 0.180435590763649, 0.573990807097867, 0.67286644736147, 0.825430379518052, 0.29742165894963757, 0.7690939731701776, 0.5255165519848989, 0.7312589799460197, 0.3163119880618598, 0.987573297143836, 0.88927272448919, 0.9753114329376681, 0.79190053591292, 0.5180249626539509, 0.9090777169612596, 0.787533201705056, 0.2253480750708894, 0.48370108321902194, 0.3995837328210624, 0.28621935935904874, 0.3631232112611543, 0.685987746062929, 0.6672028147657709, 0.6607556338751417, 0.22603646470446548, 0.5453028312055592, 0.7795044574042468, 0.5731122055903796, 0.7461664645608801, 0.5574491703213402, 0.34244198889541844, 0.8518067872630103, 0.690298614319194, 0.7155931639646139]",1.439410924911499
S2,GA,balanced,3,3,50,0.0,1.0,0.0,0.9374795303854793,5000,"[np.float64(2.281366639362547), np.float64(2.022950940292116), np.float64(1.8806423763725209), np.float64(1.8224851829336597), np.float64(1.7911160588322783), np.float64(1.7911160588322783), np.float64(1.6519754943297182), np.float64(1.4226648792674967), np.float64(1.4226648792674967), np.float64(1.4226648792674967), np.float64(1.4226648792674967), np.float64(1.4226648792674967), np.float64(1.4226648792674967), np.float64(1.4226648792674967), np.float64(1.4226648792674967), np.float64(1.4226648792674967), np.float64(1.3761921016316685), np.float64(1.3761921016316685), np.float64(1.3761921016316685), np.float64(1.3761921016316685), np.float64(1.37302779223343), np.float64(1.37302779223343), np.float64(1.37302779223343), np.float64(1.3037079204294604), np.float64(1.3037079204294604), np.float64(1.3037079204294604), np.float64(1.2361575962989702), np.float64(1.1630415427836402), np.float64(1.1630415427836402), np.float64(1.1630415427836402), np.float64(1.1630415427836402), np.float64(1.1630415427836402), np.float64(1.1630415427836402), np.float64(1.1630415427836402), np.float64(1.1630415427836402), np.float64(1.1630415427836402), np.float64(1.1630415427836402), np.float64(1.1630415427836402), np.float64(1.1630415427836402), np.float64(1.1630415427836402), np.float64(1.1630415427836402), np.float64(1.081968750679621), np.float64(1.081968750679621), np.float64(1.081968750679621), np.float64(1.081968750679621), np.float64(1.081968750679621), np.float64(1.081968750679621), np.float64(1.081968750679621), np.float64(1.081968750679621), np.float64(1.081968750679621), np.float64(1.081968750679621), np.float64(1.081968750679621), np.float64(1.081968750679621), np.float64(1.0277059274203426), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(1.0065434278386758), np.float64(0.9374795303854793), np.float64(0.9374795303854793), np.float64(0.9374795303854793), np.float64(0.9374795303854793), np.float64(0.9374795303854793), np.float64(0.9374795303854793), np.float64(0.9374795303854793)]",True,OK,0.9374795303854793,0.0,26,0,0,0.0,"[0.3805130702949394, 0.9398298076294993, 0.7167943978638519, 0.9268324412604244, 0.9125892257680811, 0.6426796330941726, 0.9783038133858181, 0.5785904431952543, 0.404453597970293, 0.639552971636751, 0.8305922017726305, 0.925249622626294, 0.25674015481669266, 0.9422087025808307, 0.6334423010539803, 0.3454638755206252, 0.3635505291927288, 0.5002532060097671, 0.6970175241037526, 0.45913707803938386, 0.8582214633282751, 0.29637203311334226, 0.6499702525438454, 0.6991318887469004, 0.8629189469218334, 0.8674996189823141, 0.9317688443242643, 0.1339690942256243, 0.8787552249832479, 0.29210599142202753, 0.5851477286549839, 0.4170224233849912, 0.3027829915237664, 0.5372904953688301, 0.6433753772064559, 0.9310692785336185, 0.9001594854285746, 0.17810535265224514, 0.9540593560708546, 0.26187227038048866, 0.9435853857432033, 0.5001485452940414, 0.8676808494891713, 0.5251622842443145, 0.9572747106323355, 0.5613400455312255, 0.9691213769558893, 0.4781741260612147, 0.9890094033115094, 0.34438081473409654, 0.4310491666675591, 0.604544284672694, 0.9332950553316965, 0.3479960263773564, 0.8877334111151515, 0.2940498029951054, 0.7384633490177217, 0.7465469459374975, 0.924239161381316, 0.49756994076169925, 0.5913901971545289, 0.4839890522643394, 0.969132357915852, 0.5260805098715919, 0.8777903384757643, 0.633928508033612, 0.5254023846011122, 0.19718905627602923, 0.7280212112459316, 0.5786290655007018, 0.8074266456195335, 0.48504992100113264, 0.6062789242698953, 0.9873327159100341, 0.37034995882147326, 0.5393497115735413, 0.8584485237117432, 0.3742276696896796, 0.046563799184132226, 0.9667734520260696, 0.8947592831758485, 0.67324013002329, 0.7433560510563713, 0.6689375167233904, 0.934514062660465, 0.46934496962621153, 0.7655482716408997, 0.31990306139348945, 0.6803527354911728, 0.802811998190588, 0.2729884625920599, 0.9875324303482171, 0.4362487905628254, 0.5803071019524344, 0.7752688384131654, 0.45033047777348834, 0.9133521950295576, 0.5731027998064195, 0.6452751799846468, 0.13053990807914018, 0.761343374642358, 0.6693012724112513]",1.4370989799499512
