scenario,algorithm,weight_variant,run_id,seed,n_sensors,P_TX_max,w_E,w_R,best_fitness,n_evaluations,convergence_curve,is_valid,validation_reason,E_total,min_link_margin,network_lifetime,los_count,nlos_count,los_ratio,best_genome,elapsed_time
S2,PSO,energy_priority,1,1,15,-5.0,0.7,0.3,4000802.025402728,5000,"[np.float64(12006125.610736975), np.float64(12003049.641814973), np.float64(12003049.641814973), np.float64(10003441.298696863), np.float64(10003441.298696863), np.float64(10003434.461905912), np.float64(9006955.413057161), np.float64(9006955.413057161), np.float64(9004939.541072953), np.float64(9002926.292043466), np.float64(9002926.292043466), np.float64(9002902.148496704), np.float64(9002783.566005787), np.float64(9002677.300251734), np.float64(9002594.808734773), np.float64(8003195.097155007), np.float64(8002539.485845871), np.float64(8002443.6591627225), np.float64(8002391.931250413), np.float64(8002391.931250413), np.float64(8002309.393606225), np.float64(8002215.5408618525), np.float64(8002087.1514452025), np.float64(8002060.930713365), np.float64(8002059.696934461), np.float64(8002059.696934461), np.float64(8002059.696934461), np.float64(8002046.846238651), np.float64(8002034.276578824), np.float64(8001999.735669634), np.float64(8001966.730551283), np.float64(7001954.809807684), np.float64(7001949.635400996), np.float64(7001926.99880345), np.float64(7001919.166143941), np.float64(7001908.6299694795), np.float64(7001899.828430009), np.float64(7001894.182582673), np.float64(7001882.57601798), np.float64(7001870.26342413), np.float64(7001858.952692343), np.float64(7001844.263511444), np.float64(7001832.658163181), np.float64(7001816.850600698), np.float64(7001796.585770818), np.float64(7001787.171358801), np.float64(7001780.308784505), np.float64(7001763.308678977), np.float64(7001746.100304315), np.float64(7001735.0419964595), np.float64(7001715.3452423075), np.float64(7001639.728231647), np.float64(6001568.030007125), np.float64(6001568.030007125), np.float64(6001560.473176219), np.float64(6001543.793612671), np.float64(6001529.13013663), np.float64(6001524.0649875635), np.float64(6001521.0127418805), np.float64(6001511.176214325), np.float64(6001496.190595811), np.float64(6001478.532908287), np.float64(6001474.263226291), np.float64(6001464.412919942), np.float64(6001434.439855192), np.float64(6001434.439855192), np.float64(6001434.439855192), np.float64(6001434.439855192), np.float64(6001432.195395858), np.float64(6001411.802241787), np.float64(6001411.802241787), np.float64(5005178.8871222725), np.float64(5002143.561365205), np.float64(5001355.908982233), np.float64(5001355.908982233), np.float64(5001344.360942619), np.float64(5001334.789418978), np.float64(5001326.33325329), np.float64(5001309.436279939), np.float64(5001292.9885971565), np.float64(5001279.973271845), np.float64(5001264.8575173095), np.float64(5001245.62784129), np.float64(5001224.863011498), np.float64(5001204.02836565), np.float64(5001174.814766454), np.float64(5001133.943338315), np.float64(5001099.301127387), np.float64(5000963.642998185), np.float64(5000920.081203889), np.float64(5000915.683594873), np.float64(5000906.275641349), np.float64(5000886.7953788405), np.float64(5000868.288228127), np.float64(5000835.9763586195), np.float64(4000816.914503542), np.float64(4000808.3663379154), np.float64(4000808.259377028), np.float64(4000803.6012480315), np.float64(4000802.025402728)]",False,Sensor 6 (Temperature) poza strefą 'left_wrist',0.0001500010781847959,36.237708323850626,99997,8,7,0.5333333333333333,"[0.6146594227796406, 0.6258772388194419, 0.5096367958972469, 0.9483218229568786, 0.3021407756112261, 0.6947899329959195, 0.8662076490971704, 0.47875057145558364, 0.3956322316249625, 0.7499967834278009, 0.16852101494124352, 0.5880761820103381, 0.645900669641764, 0.5751470243435043, 0.5977320513800592, 0.4039769573664042, 0.3463400387633744, 0.733851133202847, 0.42899190232335893, 0.5403467014817758, 0.5984641405947794, 0.20165461297773463, 0.635064767608932, 0.355510160523752, 0.3861781763542021, 0.566567856518692, 0.5590241088734244, 0.07864702174106025, 0.479147677506028, 0.4862420982911189, 0.35362311152756687, 0.4054854326914674]",1.2244048118591309
S2,PSO,energy_priority,2,2,15,-5.0,0.7,0.3,2000738.9351505719,5000,"[np.float64(13004217.936497668), np.float64(13004217.936497668), np.float64(12004580.745301884), np.float64(12003591.211620213), np.float64(12003462.786904346), np.float64(11003783.174577542), np.float64(9003742.770948352), np.float64(9003622.341808682), np.float64(9003488.805814564), np.float64(9003143.961399598), np.float64(9003143.961399598), np.float64(8003333.966384392), np.float64(8003333.966384392), np.float64(8003116.454269328), np.float64(8003055.689280286), np.float64(7005921.621042754), np.float64(7003097.9290657025), np.float64(7003097.9290657025), np.float64(7003097.9290657025), np.float64(7002998.635168022), np.float64(7002922.80858694), np.float64(6002870.892048335), np.float64(6002840.656499676), np.float64(6002827.601764964), np.float64(6002784.006186418), np.float64(6002684.575706009), np.float64(6002621.189207044), np.float64(6002515.818754441), np.float64(6002399.380726227), np.float64(6002292.426495668), np.float64(6002225.807702134), np.float64(6002159.458223052), np.float64(6002127.457651816), np.float64(5002201.384847187), np.float64(5002052.822072995), np.float64(5002035.3023896245), np.float64(5002034.462232431), np.float64(5001973.501838506), np.float64(5001962.025187734), np.float64(5001933.6277454905), np.float64(5001907.026419416), np.float64(5001802.127889276), np.float64(5001728.332664942), np.float64(5001554.534749948), np.float64(5001464.047329396), np.float64(5001409.253301985), np.float64(4001398.3372644405), np.float64(4001391.3701967094), np.float64(4001391.3701967094), np.float64(4001384.513676918), np.float64(4001376.783533508), np.float64(4001372.9307412812), np.float64(4001364.6833455763), np.float64(4001351.215014079), np.float64(4001326.129936679), np.float64(4001295.212394715), np.float64(4001235.2649873393), np.float64(4001211.98633367), np.float64(4001152.3379324498), np.float64(4001125.184986905), np.float64(4001094.9870590097), np.float64(4001053.380066757), np.float64(3001035.209914683), np.float64(3001012.2608716525), np.float64(3000990.8329584445), np.float64(3000970.054005799), np.float64(3000945.353993901), np.float64(3000921.719350712), np.float64(2000917.943138226), np.float64(2000915.598515259), np.float64(2000912.4253968985), np.float64(2000906.1486605173), np.float64(2000900.6632761008), np.float64(2000896.190499646), np.float64(2000895.3415606637), np.float64(2000895.2406934127), np.float64(2000894.1233889952), np.float64(2000893.2881853227), np.float64(2000891.1931348355), np.float64(2000888.1457974887), np.float64(2000881.2597959004), np.float64(2000873.3954973014), np.float64(2000858.3874351373), np.float64(2000843.9115026845), np.float64(2000828.3866702905), np.float64(2000811.4095223108), np.float64(2000795.5582093634), np.float64(2000779.574705793), np.float64(2000765.9402868333), np.float64(2000753.9850360588), np.float64(2000749.2750262565), np.float64(2000748.0107356969), np.float64(2000746.929293904), np.float64(2000745.987829592), np.float64(2000745.0159897497), np.float64(2000743.9949857406), np.float64(2000742.4885351562), np.float64(2000741.4728991617), np.float64(2000740.1720910096), np.float64(2000738.9351505719)]",False,Sensor 3 (SpO2) poza strefą 'left_shoulder',0.00015000132921955166,34.960585117482466,99995,8,7,0.5333333333333333,"[0.4148143520843836, 0.5365171233489721, 0.597382620212138, 0.8562365876407739, 0.35718006806701913, 0.9032156026226724, 0.8118225372140879, 0.5042353355096064, 0.3975348005639679, 0.59290225606127, 0.18261884150437807, 0.4920138445940301, 0.6250629760276117, 0.6983334979341226, 0.46557378895100576, 0.48888081542912043, 0.23183967847493958, 0.6178068386171744, 0.7682335075795292, 0.6210767030198965, 0.46713876879452815, 0.3880727054311626, 0.5876471801903325, 0.3024321064341444, 0.5218261662498352, 0.7311294575743269, 0.6106141402987209, 0.10440046062674825, 0.5397819031166823, 0.43922463016039864, 0.41252684478212953, 0.31212526689078474]",1.2390170097351074
S2,PSO,energy_priority,3,3,15,-5.0,0.7,0.3,4001046.337285167,5000,"[np.float64(13003954.812539807), np.float64(11006574.0770403), np.float64(11004671.849672649), np.float64(11004671.849672649), np.float64(11003275.816295596), np.float64(11003167.823384713), np.float64(10003491.981434299), np.float64(10003297.835313812), np.float64(10003297.835313812), np.float64(9003006.360105444), np.float64(9003006.360105444), np.float64(9003006.360105444), np.float64(9002959.754406959), np.float64(9002925.978430683), np.float64(9002874.601128554), np.float64(9002858.85340185), np.float64(9002783.024961373), np.float64(9002458.81832594), np.float64(8002484.600204763), np.float64(8002484.600204763), np.float64(8002461.090516196), np.float64(8002461.063954668), np.float64(8002461.063954668), np.float64(8002436.513273779), np.float64(8002382.584802764), np.float64(7002347.543358196), np.float64(7002128.056183942), np.float64(7002094.538375162), np.float64(7001951.908641726), np.float64(6001856.969004691), np.float64(6001821.600439466), np.float64(6001819.63960827), np.float64(6001814.918112308), np.float64(6001804.829305085), np.float64(6001793.994369891), np.float64(6001774.5993891945), np.float64(6001748.853918053), np.float64(6001736.3494120315), np.float64(6001717.044788781), np.float64(6001699.854608407), np.float64(6001669.897500595), np.float64(6001652.650722034), np.float64(6001625.278648403), np.float64(6001596.091897502), np.float64(6001559.148037972), np.float64(5002177.164736429), np.float64(5001542.0199839035), np.float64(5001542.0199839035), np.float64(5001540.363338544), np.float64(5001539.703967278), np.float64(5001537.246292794), np.float64(5001535.327303705), np.float64(5001533.908237858), np.float64(5001533.908237858), np.float64(5001532.16033654), np.float64(5001529.157462513), np.float64(5001525.019797693), np.float64(5001523.474394663), np.float64(5001518.38721996), np.float64(5001512.661727864), np.float64(5001508.3610384995), np.float64(5001497.685189114), np.float64(5001481.880117714), np.float64(5001472.349564018), np.float64(5001455.964120247), np.float64(5001455.669713837), np.float64(5001451.463703838), np.float64(5001451.463703838), np.float64(5001433.422850318), np.float64(5001374.637320688), np.float64(5001365.439303124), np.float64(5001335.176809592), np.float64(5001275.218044187), np.float64(5001268.4781373115), np.float64(5001265.302929542), np.float64(5001260.859920925), np.float64(5001250.358282113), np.float64(5001245.989239959), np.float64(5001228.231845961), np.float64(5001189.346756741), np.float64(5001158.037151551), np.float64(5001108.999725853), np.float64(5001090.369634575), np.float64(5001088.415483428), np.float64(5001085.610947579), np.float64(5001082.529430432), np.float64(5001079.6694139), np.float64(5001074.018035065), np.float64(5001062.421131742), np.float64(4001054.858035708), np.float64(4001053.876003743), np.float64(4001052.6598809), np.float64(4001051.981496657), np.float64(4001050.125718841), np.float64(4001049.284760668), np.float64(4001048.508742626), np.float64(4001047.762717678), np.float64(4001047.26953409), np.float64(4001046.814659872), np.float64(4001046.337285167)]",False,Sensor 4 (SpO2) poza strefą 'right_wrist',0.00015000094930296083,32.51478918052709,99996,10,5,0.6666666666666666,"[0.5103889894236722, 0.744819918783503, 0.5895111836467621, 0.9245451031162434, 0.34799531678395, 0.6102837018404857, 0.913663829959125, 0.477428792991322, 0.35263640656388723, 0.6690560626846429, 0.1021240932830807, 0.46075381061852566, 0.6496342192892515, 0.7246924230031222, 0.3436510359400988, 0.5154163116396003, 0.34938126027427113, 0.7402912330164434, 0.6672361213638233, 0.6179798263812054, 0.43791424136960583, 0.20551483879262913, 0.6284329605991408, 0.20590333855118467, 0.4252090816065378, 0.5216204286164088, 0.31403849318908106, 0.7045169255493456, 0.4000815125630728, 0.4779876265643493, 0.27417217637419017, 0.610233022313065]",1.2421817779541016
